review,score,of_title,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"Terrible. Ok so you want to start fresh? Disregard the legacy and everything set into place by The Force Awakens? THEN DO A GOOD JOB. Which you didn't. This is not just an awful movie, and not just a failed sequel, this is an act of aggression against fans by an arrogant director who thinks he can do better. He couldn't. Now let's hope that Abrams can pull off a miracle in IX and pick up the pieces. (And thank you Mark Hamill for letting us know your feelings about this film.)",2.0,Last Jedi,0.9943101406097412,0.022362446412444115,0.00983922928571701,0.0026695868000388145,0.0007586680585518479,0.00018963386537507176,0.00016846759535837919,2.1794285203213803e-05,1.6049223631853238e-05
"Visually stunning, but woefully lacking in writing, directing and editing. On first viewing 5/10 and on second viewing where the flaws are more obvious it gets 3/10. A shame as with some decent editing, dialogue changes and re-shoots it has the potential to be an enjoyable film.",2.0,Last Jedi,0.855042576789856,0.5448578000068665,0.10482487082481384,0.0011408671271055937,0.00014751107664778829,3.1689502066001296e-05,2.2108246412244625e-05,2.0994648366468027e-05,1.5965857528499328e-05
"Think about it, this movie takes place 18 hours following the last movie. In last movie Finn couldn't fly, now he is suddenly, with no training, is an expert pilot. They are chased at light speed with First Order firing on their shields, yet Finn/Rose can take a trip to a planet for several hours and then magically return to the ship, still being chased and blasted on by the First Order. Nothing in this movie made sense, and they trashed Luke's character, angered and spurned away the fans.",2.0,Last Jedi,0.9948750138282776,0.9053836464881897,0.7264785170555115,0.3456692397594452,0.014313521794974804,0.0028312804643064737,0.000582985405344516,9.502792090643197e-05,4.133693437324837e-05
"Unrecognizable as a Star Wars movie. Weak plot, weak characters, poorly placed humor. Good effect, but that's not enough. Iconic movies shouldn't be used to push  a political agenda.",2.0,Last Jedi,0.1160239428281784,0.022966930642724037,0.021790452301502228,0.0007315221009775996,0.00037950222031213343,3.2251395168714225e-05,3.1882078474154696e-05,3.187888432876207e-05,1.6062407667050138e-05
"""If you just casually watched a few \""""Star Wars\"""" movies & thought they were alright, this is for you. If you are a \""""Star Wars\""""-fan you can't take this new installment seriously; to a point where you actually feel a bit of shallow pain after leaving the theater. The movie feels like fanfiction, which threw all the rules, that George Lucas created, out of the window und made your childhood characters fly through space like marvel space-wizards. Star Wars always felt like a real thing far far away, now it feels like a summer blockbuster movie, that you'll forget the second you come home. There are so many things that are bad about this movie, that i couldn't get them into the review. I'm not a Review guy, but now I felt a strong sense do get my disappointment out of my system. KATHLEEN KENNDEDY: PLEASE GIVE US MORE FROM GARETH EDWARDS, THAT'S OUR ONLY HOPE!",2.0,Last Jedi,0.9610525369644165,0.00661555165424943,0.0017363125225529075,0.0006217011832632124,8.975685341283679e-05,7.246030872920528e-05,4.460175841813907e-05,3.193792508682236e-05,1.6754383977968246e-05
Honestly the worst of the entire saga. Rian completely gutted the Star Wars name.  Never thought id dislike any episode more than TPM.  Im just going to write this off as non-canon in my own brain.,2.0,Last Jedi,0.9688069820404053,0.9540749192237854,0.061325035989284515,0.010555830784142017,0.009376898407936096,0.001674012397415936,4.735185575555079e-05,4.026761598652229e-05,1.38143623189535e-05
Too many contrivances that are blatantly contrary to the Star Wars universe but forced into being for âplotâ purposes. Way too many attempts at Jar-Jar Binks style comedy scattered throughout. Left me with the impression that Riann Johnson was more focussed on flipping the bird at JJ Abramsâ TFA than he was with putting together a quality film deserving of the Star Wars title.,4.0,Last Jedi,0.9969124794006348,0.9487738609313965,0.44300439953804016,0.0022210143506526947,0.0007151718018576503,0.00038034343742765486,0.00019609328592196107,2.9072903998894617e-05,2.6193863959633745e-05
The force now supports Skype!! Not a bad movie just the decisions that were made were terrible.,2.0,Last Jedi,0.9982884526252747,0.4367723762989044,0.17238390445709229,0.1261947900056839,0.021599028259515762,0.0007490883581340313,0.00043938012095168233,9.191917342832312e-05,5.481802872964181e-05
"Hated this film. Clunky, badly structured and poorly written, preachy characters. And that with out mentioned what a disservice it does to TFA. Disney has no plans for these films, and it shows.",2.0,Last Jedi,0.990667998790741,0.9880361557006836,0.046197328716516495,0.017507053911685944,0.006687899585813284,0.0007426709635183215,5.313301153364591e-05,3.0223331123124808e-05,1.3776984815194737e-05
This is not Star Wars ! It felt like Disney wants only your money. It looks very exceptional but has a lot of things that don't make any sense. The message that Disney seems to sent the fans is  that the past doesn't matter.,2.0,Last Jedi,0.9930797815322876,0.9694902300834656,0.06818092614412308,0.00203904090449214,0.001990388846024871,0.0001146220020018518,6.43938037683256e-05,5.116057218401693e-05,1.7778398614609614e-05
worse than the prequels,2.0,Last Jedi,0.006414586212486029,0.005904234014451504,0.0013325284235179424,0.0005388663266785443,0.00053781783208251,0.0004997578216716647,7.590982568217441e-05,5.025052814744413e-05,3.063358599320054e-05
Just a cash grab by Disney. This franchise is tired. And I'm a Star Wars fan!,2.0,Last Jedi,0.9857037663459778,0.9056608080863953,0.02946201153099537,0.006393258925527334,0.0023659728467464447,0.00031573104206472635,7.825619104551151e-05,4.7123245167313144e-05,2.9855422326363623e-05
"Star Wars is often seen as the shinning jewel in the sci-fi film genre. Sure the saga has had some missteps with the first, two films in the prequel trilogy. The Last Jedi, is truly the pinnacle terrible script writing and directing. Rian Johnson, has killed this franchise. His directing and writing skills have destroyed this film. The film is eye candy for sure. But it boils down to nothing less than a movie you can turn you brain off to watch. This is a terrible Star Wars film, but a mediocre action film you can turn your brain off too. I hope Disney do the right thing and get this god awful director away from this dying franchise.",4.0,Last Jedi,0.9917198419570923,0.9894556403160095,0.011905056424438953,0.006788850296288729,0.0017699124291539192,0.0007699208217673004,8.004205301404e-05,2.604508335934952e-05,1.5588238966302015e-05
