review,score,of_title,id_linha,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"Terrible. Ok so you want to start fresh? Disregard the legacy and everything set into place by The Force Awakens? THEN DO A GOOD JOB. Which you didn't. This is not just an awful movie, and not just a failed sequel, this is an act of aggression against fans by an arrogant director who thinks he can do better. He couldn't. Now let's hope that Abrams can pull off a miracle in IX and pick up the pieces. (And thank you Mark Hamill for letting us know your feelings about this film.)",2,Last Jedi,1,0,0,1,0,1,0,0,1,1
"Visually stunning, but woefully lacking in writing, directing and editing. On first viewing 5/10 and on second viewing where the flaws are more obvious it gets 3/10. A shame as with some decent editing, dialogue changes and re-shoots it has the potential to be an enjoyable film.",2,Last Jedi,2,1,0,0,1,0,1,0,1,1
"Think about it, this movie takes place 18 hours following the last movie. In last movie Finn couldn't fly, now he is suddenly, with no training, is an expert pilot. They are chased at light speed with First Order firing on their shields, yet Finn/Rose can take a trip to a planet for several hours and then magically return to the ship, still being chased and blasted on by the First Order. Nothing in this movie made sense, and they trashed Luke's character, angered and spurned away the fans.",2,Last Jedi,3,1,1,0,1,1,1,1,0,1
"Unrecognizable as a Star Wars movie. Weak plot, weak characters, poorly placed humor. Good effect, but that's not enough. Iconic movies shouldn't be used to push  a political agenda.",2,Last Jedi,4,1,0,1,1,1,0,0,1,1
"""If you just casually watched a few \""""Star Wars\"""" movies & thought they were alright, this is for you. If you are a \""""Star Wars\""""-fan you can't take this new installment seriously; to a point where you actually feel a bit of shallow pain after leaving the theater. The movie feels like fanfiction, which threw all the rules, that George Lucas created, out of the window und made your childhood characters fly through space like marvel space-wizards. Star Wars always felt like a real thing far far away, now it feels like a summer blockbuster movie, that you'll forget the second you come home. There are so many things that are bad about this movie, that i couldn't get them into the review. I'm not a Review guy, but now I felt a strong sense do get my disappointment out of my system. KATHLEEN KENNDEDY: PLEASE GIVE US MORE FROM GARETH EDWARDS, THAT'S OUR ONLY HOPE!",2,Last Jedi,5,1,0,0,1,1,1,1,0,1
Honestly the worst of the entire saga. Rian completely gutted the Star Wars name.  Never thought id dislike any episode more than TPM.  Im just going to write this off as non-canon in my own brain.,2,Last Jedi,6,1,1,1,0,1,1,1,1,1
Too many contrivances that are blatantly contrary to the Star Wars universe but forced into being for âplotâ purposes. Way too many attempts at Jar-Jar Binks style comedy scattered throughout. Left me with the impression that Riann Johnson was more focussed on flipping the bird at JJ Abramsâ TFA than he was with putting together a quality film deserving of the Star Wars title.,4,Last Jedi,7,0,1,1,1,0,0,0,1,1
The force now supports Skype!! Not a bad movie just the decisions that were made were terrible.,2,Last Jedi,8,0,0,1,1,1,0,1,0,0
"Hated this film. Clunky, badly structured and poorly written, preachy characters. And that with out mentioned what a disservice it does to TFA. Disney has no plans for these films, and it shows.",2,Last Jedi,9,0,1,0,0,1,1,1,1,1
This is not Star Wars ! It felt like Disney wants only your money. It looks very exceptional but has a lot of things that don't make any sense. The message that Disney seems to sent the fans is  that the past doesn't matter.,2,Last Jedi,10,1,1,1,0,0,1,1,1,1
worse than the prequels,2,Last Jedi,11,0,0,1,1,1,0,1,1,1
Just a cash grab by Disney. This franchise is tired. And I'm a Star Wars fan!,2,Last Jedi,12,0,0,0,0,1,0,1,1,1
"Star Wars is often seen as the shinning jewel in the sci-fi film genre. Sure the saga has had some missteps with the first, two films in the prequel trilogy. The Last Jedi, is truly the pinnacle terrible script writing and directing. Rian Johnson, has killed this franchise. His directing and writing skills have destroyed this film. The film is eye candy for sure. But it boils down to nothing less than a movie you can turn you brain off to watch. This is a terrible Star Wars film, but a mediocre action film you can turn your brain off too. I hope Disney do the right thing and get this god awful director away from this dying franchise.",4,Last Jedi,13,0,1,1,0,1,0,1,0,1
"I did not  enjoy this movie at all, can't be called a Star wars movie. enjoyed the prequels more",2,Last Jedi,14,0,1,1,1,1,1,1,1,1
"""Honestly, it was terrible. Genuine pantomime villains hamming it up badly and a Chuck Norris (beard only) ending from Luke. The CGI was crap - the forces exerted by the critters just didn't look at all real and the spaceships that boringly trudged through space looking for a handy gas station would have been better done on a PC version of Homeworld. ... and there's just too much about the plotting and the set pieces and the 2-D moral-baiting lines and Mary Poppins and rubbishy looking aliens and lack of scope (despite the grand size of ships and planets, it all seemed to be happening in a cheap studio or green-screen environment). It is really bad. One ends up being cheered by spotting a cameo appearance, but then feeling sorry that these actors got caught up in this mess. Very disappointed that Finchy from \""""The Office\"""" didn't get to deliver any lines, Adrian from \""""The Young Ones\"""" should have donated some of his.",2,Last Jedi,15,0,0,1,0,1,1,0,1,0
"After viewing this movie I have no further interest in the story of Rey, Finn, Poe, Kylo. I donât care what happens to those posers and the continuation of their story. This is without a doubt a cash grab to push out the old OT characters and push on us, these uninspired new wanna-bees. The plot was laughable, the treatment of the OT heroes was despicable, and it just didnât feel like a Star Wars movie. I never felt so disappointed after watching a starwars movie.",2,Last Jedi,16,0,1,1,1,1,0,1,1,1
"Awful movie. Lazy writing. Abysmal characterization. Rife with plot-holes. Story depends on dozens of coincidences to move forward. If you love Star Wars, steer clear: this will tarnish your view of it.",2,Last Jedi,17,1,0,1,0,1,1,1,1,0
"Very disappointed. So many stupid scenes, such as Leah flying through space.",4,Last Jedi,18,0,1,0,0,1,0,1,0,1
"This movie has more plot holes than any movie Iâve ever seen. Pointless and unbelievable premise, lack of any real movement forward with the Star Wars saga, and honestly, Iâm just left with constantly saying, âwhy did they do that?â You May enjoy if you are not a Star Wars fan, if you are a die hard, I think you will feel that this if far from the best Star Wars since Empire, like Iâve been reading, and more like the worst Star Wars since Phantom Menace.",4,Last Jedi,19,0,0,0,0,1,0,0,1,1
The plot of this movie has more holes than Swiss cheese.,4,Last Jedi,20,0,0,1,1,1,0,0,1,0
Worst worst worst Star Wars ever ....,2,Last Jedi,21,0,0,0,1,1,1,1,1,1
It wouldn't have been so bad if - well - it wasn't just bad. Outside of whatever people might perceive as political and 'sjw' it remains just a really bad movie that doesn't use what came before it to propel it to new heights but craps all over it for no other reason than to 'subvert expectations' and it (Rian) thinks it's clever for doing that.,2,Last Jedi,22,1,0,1,1,1,0,1,1,1
It was a terrible movie it killed off snoke and luke and was made to please the feminists Rey should never have been created and never should have stood a chance against snokes guards this movie sucks skip it,2,Last Jedi,23,1,0,1,0,0,1,1,1,1
"Dear Rian Johnson, please stop writing hundreds of 5-star reviews. We all know it's you. Kathleen Kennedy has already lost her throne at Lucasfilm and you will NEVER make the trilogy she promised you. All mankind (and womankind too) would not be able to survive another abomination like The Last Jedi.",2,Last Jedi,24,1,1,1,1,0,0,1,0,1
"It's a great movie if you can shut off your brain for a few hours. If you don't care about the universe, plot, characters, and backstory you will love this film.",4,Last Jedi,25,0,1,0,0,1,1,0,1,1
makes no sense. irrelevant to the series. this movie could have never happened and we are basically exactly where we left off. anticlimactic. a terrible addition to an otherwise fantastic series. it's time to be real with ourselves. this movie deserves more bad reviews,2,Last Jedi,26,0,1,0,1,1,1,1,0,1
"A convoluted, confused, and disappointing mess of a movie that is more concerned with subverting narrative expectations and inserting SJW commentary than with telling a compelling story.",4,Last Jedi,27,1,0,1,0,1,0,0,0,0
"Not worth the time it would take to write an actual review.  This is film making brought to its lowest.  Nearly every decision made behind the camera was unapologetically stupid.  People, like Forbes, say that because a movie with the Star Wars brand makes money, the producer (Kathleen Kennedy) deserves to keep her job.  Without the brand, this movie would make nothing.  Disney seems very keen to destroy the brand, so we'll get to see that soon enough.",2,Last Jedi,28,1,1,1,1,1,0,1,1,1
"""This disorganized mess of a film was a waste of good popcorn. It felt like I was simultaneously watching 3 completely separate but equally terrible movies. This film just won't die either. At every dramatic standoff after the first 90 minutes you're just praying that sweet relief will come in the form of ending credits, but it won't. By the 3rd \""""final showdown\"""" you're cursing the never ending stream of deus ex machinas and yelling \""""just let them all die\"""" in a crowded theater. This film introduces annoying characters just to kill them off, as if that's supposed to make it OK. If you find yourself writing \""""Leia uses the force to glide like Mary Poppins through space\"""" it's time to find a new line of work.",2,Last Jedi,29,0,1,0,1,1,1,1,1,0
"This movie made me feel like I'm too old for star wars. It's hard to even say if they did a good job or not, because I'm not even sure what they were trying to do. 2h33m too long.",2,Last Jedi,30,0,0,1,1,0,0,1,0,1
"It doesn't feel like a star wars movie, it feels like the people behind Atlantic rim got a massive budget and tried to rip off star wars.",4,Last Jedi,31,0,1,1,1,0,0,1,1,1
"You have ruined the franchise. You have thrown everithing away that have been done before, to make something new but with no coercion between the script and the character what so ever",2,Last Jedi,32,1,0,1,1,1,1,0,1,0
"I actually enjoyed the movie, but honestly it just left such a bad taste in my mouth. So many cool things but ruining luke like this negates all the good stuff. I don't understand the need to kill off the original characters in order to make the new generation the heroes. All the books I have read about Lukes heroics, I so wanted to see him in true action... so disappointed but then again maybe we should just accept that Ryan Johnson is trying to give Star Wars to a new generation and just 'let the past die'. Star wars feels finished for me now.",2,Last Jedi,33,1,0,1,1,1,0,1,1,1
"Shot very well, good design and visual look to the film, however it desecrates the past history of the franchise, does not stay true to the characters or to fans.",2,Last Jedi,34,0,1,0,1,1,1,0,1,1
Probably would have been better as a BB-8 stand alone film. That droid was more incredible than Jedi master Luke Skywalker. I'm confused and saddened by this movie.,2,Last Jedi,35,1,1,1,0,1,0,0,0,1
"A long, expensive, poorly made film.  Weak portrayals of existing characters, badly introduced new characters, forgettable dialog, and the most stupid villains ever conceived.  What would be merely disappointing in a stand alone space opera becomes unforgivable as part of the beloved Star Wars property.  Gaping plot holes are papered over with too much CGI.  Rian Johnson and JJ Abrams are capable of far better than this.  The film should take a Mulligan and be done over.",2,Last Jedi,36,0,0,1,0,1,0,0,0,1
"Full of plot holes, contrived plot devices, unnecessary subplots and marvel-esq humour",2,Last Jedi,37,1,0,1,1,1,0,0,0,1
Way too long. Story was boring and just overall disappointed in the film. This is even worse than The Phantom Menace.,4,Last Jedi,38,1,1,1,0,0,1,1,0,1
"I think that Star Wars fans should demand a remake of this film. Why not? If you order food at a restaurant and its not served the way you like you send it back to the kitchen. Well, this film is no different. To be fair, there were some good scenes that were interesting and enjoyable to watch. However, there were just too many mistakes made in this film. Many of the dramatic and emotional moments fell flat while other elements of the story were rushed and left unexplained. Its obvious that the writer/director didn't like Luke Skywalker. It showed throughout the depiction of the character. In addition, it feels as if the saga was hijacked in order to provide fans with a way out to make way for a new and different story line. Its not that new story development are a bad thing, but it was too much too fast. The film simply took too many liberties for a story as loved and cherished as Star Wars. So i'll repeat:, it was a nice try, but try again. I think the fans deserve a remake.",4,Last Jedi,39,1,1,1,0,1,0,1,1,1
Can't be more disappointed... what a shame,2,Last Jedi,40,0,1,1,0,1,0,0,1,1
"Better than The Force Awakens, yet it didnât hit the mark for me. Seems like Disney is hiring the biggest guns possible to help make Star Wars a fan favorite again with a new trilogy that seems to be as confused of the direction itâs heading, like Kylo Ren himself. No matter how much Disney invests in this or any other Star Wars trilogy, seems like nothing can surpass Empire Strikes Back.",2,Last Jedi,41,1,0,0,0,1,1,1,1,1
"""Poorly written, poorly cast, poorly developed characters, cringe-worthy humour and naff action sequences. Laughably far removed from what the Star Wars universe is meant to be, Disney's legacy will be to destroy everything that made Star Wars unique and dilute it with bland characters, unsophisticated dialogue, juvenile humour, and far too much moralistic Social Justice messaging (\""""Respect women\"""" comes across extremely strongly, and even - inexplicably - \""""Don't eat meat\""""). Rey, the lead character, is an insufferable Mary Sue to whom everything is always handed and the lore of the universe bends to accommodate her. Her wooden acting is not helped by the completely immemorable and uninspiring script she has to deliver. Luke, the hero from the old movies, has been turned upside down and inside out to the point where the actor disowned the new interpretation of the character and the old fanbase almost unanimously rejected the movie outright. Finn is one of the best things about the new Star Wars movies and his scenes make this car crash of a film watchable. Leia is bearable until her miraculous and completely unrealistic (even by Star Wars' standards) Superman-esque space flight. An irritating new character called Rose is introduced presumably to add another check in the diversity tick boxes as she serves little other purpose other than to ruin one of Finn's most heroic moments and simultaneously doom the entire resistance over some airy-fairy notion of 'love trumps hate', puh-lease. Just do not waste your time.",2,Last Jedi,42,1,0,1,0,1,0,0,1,1
"""I really don't know why I'm giving this film such a high \""""score\"""". This film insulted a viewers intelligence as to what a film should deliver. I'm a huge star Wars fan and I wanted to love this movie after the huge disappointment in The Force Awakens. The Last Jedi made me cringe and face palm throughout the entire film. I've never walked away from ANY film feeling the way I did with this movie. How anyone can give this monstrosity over 2 stars is beyond me.",2,Last Jedi,43,1,1,1,1,1,1,1,0,1
Rian Johnson ruined everything that was set up by J.J. Abrams in the Force Awakens.,4,Last Jedi,44,1,1,0,0,1,0,0,1,1
"It seems that Rotten Tomatoes won't let this film fall below 50%. Good music and good acting can't save a terrible plot and movie that constantly preaches to us that men are war-mongering apes, and a director that tries to constantly undo the first movie and goes out of his way to make sure we don't get the movie we want or expect, and not in a good way. This is the worst Star Wars movie so far, and a terrible movie in general.",2,Last Jedi,45,1,0,1,1,1,1,1,0,1
"""In their new article this movie has been claimed to have a 106% critic approval rating with RT's wonderful Bayesian formula. If you applied the same formula to it's audience rating, it would go below 0%.  I understand the complaints cover every facet of this amateur, film festival reject but at least Kylo Ren is great in this movie, in my eyes redeemed from the last movie.   None of the plot holes hold a candle to the poor directing choices; the inability to use tension or climaxes, inability to move the story or have important events happen or build characters or their motivations. If you've ever heard that music is the heart of a memorable film then you will be disappointed there too.  Nothing happens, everything in the movie had no point, it's harder to believe with every small bit of reflection on the film.",2,Last Jedi,46,0,1,1,1,1,0,1,1,1
The added characters looked like they where picked up in the streets and told to just memorize the script. This movie felt like I was just at a backseat of a gender studies class than an actual star wars film (something that I grew up as a child loving).,4,Last Jedi,47,1,0,1,1,1,1,1,1,1
Wow just a horrible experience ... can I give it 0 out of 5,2,Last Jedi,48,1,0,0,1,1,1,1,0,1
"""Horrible pacing. What started out as probably a well written movie was killed in post. No world building, no character development, failed to illicit a single emotional response. There were entire plot lines that should have been killed off to allow for some epic star wars esc. shots, of which there was none. All the progress they made with fans with \""""Force Awakens\"""" was totally lost. Every character I loved in Episode 7 was totally blah in this film. Kathleen Kennedy, Rian Johnson, Disney, Abrams - Good job, none of you.",4,Last Jedi,49,1,1,1,0,1,0,0,1,0
WTF did I just watch?,2,Last Jedi,50,1,1,1,1,1,1,1,0,1
Star Wars the Last Jedi is a phenomenal movie! It adds depth to the new characters of the sequels as well as breathes life into the old. The world expands as characters traverse throughout the galaxy showing off new and interesting worlds. The plot is solid with twist and turns that keep the whole audience full engaged and interested.,10,Last Jedi,51,1,0,1,0,1,1,0,0,1
"Excellent film! Rian Johnson delievers the unexpected the Star Wars movie we didn't deserve, but the one we needed! A wonderful addition to the saga, but just as good as a stand alone film. Beautiful cinematography, special effects, and some very memorable moments! This film breathes new life into the Star Wars franchise. Is definitely worth watching a second, third or hundred times!",10,Last Jedi,52,0,1,1,0,1,0,1,1,1
The fans wanted something new and different?  That's it's. This movie is about learning with your own mistakes,10,Last Jedi,53,0,0,1,0,1,1,1,0,1
Not as dark as I had expected but still a good movie.,8,Last Jedi,54,0,1,1,0,0,1,0,1,1
"Like Rogue One, this is a Star Wars film that is willing to do something different. By avoiding some of the standard plot beats and using characters to drive the plot, the film creates a tension that I didn't think was possible for a Star Wars film. Even Rogue One was constrained by us knowing where it had to end up, and the Force Awakens held few surprises. So, the first Star Wars film since the original three with genuine surprises - the new trilogy may escape the shadow of its predeccesors (good and bad).",10,Last Jedi,55,1,0,1,1,1,1,0,1,1
I do not understand the hate at all. Is it a perfect movie? No. Does it put the prequels to shame? Yes. Did it introduce some cool new things and cast off some old chains? Oh yeah. Does it have me interested in what happens next? Absolutely.,10,Last Jedi,56,1,1,1,1,1,1,0,1,1
"Absolutely blown away! Yes, there could've been more Fun and less Rose, but other than that it was a solid movie.",10,Last Jedi,57,1,1,1,1,1,1,1,0,0
"I just saw Star Wars The Last Jedi and Yeah Luke Skywalker was not kidding when he said this is not going to go the way you think, so many twists and turns I was on the edge of my seat during the entire movie, I love this movie I love it more than Force Awakens, definitely more than the Prequels *obviously* and I love it more than Rogue One and I have to see it again to know how it stands against the original trilogy but all in all Star Wars The Last Jedi is worth seeing more than once and you'll love it every time ðð ðâ¤ð",10,Last Jedi,58,0,0,1,1,1,1,0,0,1
It's simply a masterwork in film and in Star Wars,10,Last Jedi,59,0,0,0,1,0,1,1,1,1
"Loved every minute, and I would love to see it again before it leaves the theaters",10,Last Jedi,60,1,1,0,1,0,0,0,1,1
"I have seen the film twice now, the second time fully aware of the fan consensus and critiques. The 3 most common complaints are the humor, the depiction of Luke, and Canto Bight. Many fans have stated the humor is too Marvel-esque, or that it breaks the tone. I disagree. The humor isn't used to interrupt poignant moments mod scene. There will be quips between characters before things really start going. The film has darker elements, and appropriately directs the tone in that direction when required. But we aren't locked into a somber affair like some seem to want or expect. Second, Luke is where he needs to be emotionally in this movie. He even has instances where he explains himself. Other characters even comment on his current disposition, and yet fans still say he is out of character? Remember when he failed to lift the X wing in Empire, and sulked alone in the corner? Now imagine the gravity of his failure and what he wants to do about it. Others have claimed that he left the map with Lor San Tekka in order to bring him back into the fight. As such they think it's a plot hole, but they are working off of an assumption. Finally, Canto Bight. I won't deny this could have been done better. The criticisms Rose has against the population of the planet were told and not shown to the extent I wanted. The sequence devolves into mindless action in my opinion. Had potential but didn't quite fit. Overall the movie is definitely good, and definitely Star Wars.",8,Last Jedi,61,0,1,1,1,1,0,1,0,1
Awesome movie! Totally new direction for Star Wars! Loved it!,10,Last Jedi,62,0,1,1,0,0,1,0,0,1
"Another Star Wars film that did not disappoint. The amount of storytelling and vision that captured in this movie was impressive. A nice fast-paced exploration through some important plot points and character development. While the humor at times felt a little forced, it didn't distract from the overall quality and storytelling of the movie. I feel like the franchise is just starting to pick up steam and find its footing as it establishes itself again. The farther away we get from people comparing it to Episodes 4-6 the better.",10,Last Jedi,63,0,0,0,1,1,1,1,0,1
"People are way too hard on this movie. Yes, it had stupid and pointless elements, and yes, it wasn't perfect, and yes, it sidelined important characters for no good reason . . . what was my point again? Oh, the movie isn't that bad, it's the middle movie in a trilogy, it's going to get reconnected, and some things are going to be changed. Rey's parents don't matter - yeah BS, they'll matter in the next movie. Snoke died for no reason - no, they replaced him with Kylo as the main villain. The diversity angle was stupid and pointless - not because they shouldn't be there, but because they were wasted. I really wanted to see character development for Fin, and he just didn't matter in this movie.",8,Last Jedi,64,1,1,1,1,1,1,0,1,0
This movies was honestly so exciting to watch for a fan like me - I'm not even joking I don't understand all the hate for it.,10,Last Jedi,65,0,0,1,1,1,0,0,1,0
Everything I could have hoped for in a Star Wars movie and more.,10,Last Jedi,66,1,1,0,0,0,0,1,0,1
Loved it!!! Can't wait to see it again!,10,Last Jedi,67,0,0,1,1,1,1,1,1,0
A nearly perfect film.,10,Last Jedi,68,1,0,1,1,1,0,0,1,0
