review,score,of_title,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"Terrible. Ok so you want to start fresh? Disregard the legacy and everything set into place by The Force Awakens? THEN DO A GOOD JOB. Which you didn't. This is not just an awful movie, and not just a failed sequel, this is an act of aggression against fans by an arrogant director who thinks he can do better. He couldn't. Now let's hope that Abrams can pull off a miracle in IX and pick up the pieces. (And thank you Mark Hamill for letting us know your feelings about this film.)",2.0,Last Jedi,0.8510119318962097,0.6631154417991638,0.1533803939819336,0.07568388432264328,0.05393761768937111,0.01631315052509308,0.01601441577076912,0.015528972260653973,0.01089443825185299
"Visually stunning, but woefully lacking in writing, directing and editing. On first viewing 5/10 and on second viewing where the flaws are more obvious it gets 3/10. A shame as with some decent editing, dialogue changes and re-shoots it has the potential to be an enjoyable film.",2.0,Last Jedi,0.5882158279418945,0.5590680837631226,0.5302403569221497,0.5159071087837219,0.5145365595817566,0.5061777830123901,0.4871624708175659,0.41838768124580383,0.2388973981142044
"Think about it, this movie takes place 18 hours following the last movie. In last movie Finn couldn't fly, now he is suddenly, with no training, is an expert pilot. They are chased at light speed with First Order firing on their shields, yet Finn/Rose can take a trip to a planet for several hours and then magically return to the ship, still being chased and blasted on by the First Order. Nothing in this movie made sense, and they trashed Luke's character, angered and spurned away the fans.",2.0,Last Jedi,0.2916176915168762,0.17526306211948395,0.12346918135881424,0.08989489823579788,0.08968135714530945,0.06191461905837059,0.0529952347278595,0.03524218499660492,0.03190707415342331
"Unrecognizable as a Star Wars movie. Weak plot, weak characters, poorly placed humor. Good effect, but that's not enough. Iconic movies shouldn't be used to push  a political agenda.",2.0,Last Jedi,0.028721779584884644,0.018183132633566856,0.017228787764906883,0.00949480663985014,0.00803440809249878,0.0072189923375844955,0.0063970256596803665,0.0028690192848443985,0.0026258155703544617
"""If you just casually watched a few \""""Star Wars\"""" movies & thought they were alright, this is for you. If you are a \""""Star Wars\""""-fan you can't take this new installment seriously; to a point where you actually feel a bit of shallow pain after leaving the theater. The movie feels like fanfiction, which threw all the rules, that George Lucas created, out of the window und made your childhood characters fly through space like marvel space-wizards. Star Wars always felt like a real thing far far away, now it feels like a summer blockbuster movie, that you'll forget the second you come home. There are so many things that are bad about this movie, that i couldn't get them into the review. I'm not a Review guy, but now I felt a strong sense do get my disappointment out of my system. KATHLEEN KENNDEDY: PLEASE GIVE US MORE FROM GARETH EDWARDS, THAT'S OUR ONLY HOPE!",2.0,Last Jedi,0.46298208832740784,0.14114443957805634,0.11612580716609955,0.10744006186723709,0.10393105447292328,0.06718088686466217,0.06416324526071548,0.06408360600471497,0.02322014980018139
Honestly the worst of the entire saga. Rian completely gutted the Star Wars name.  Never thought id dislike any episode more than TPM.  Im just going to write this off as non-canon in my own brain.,2.0,Last Jedi,0.9420899748802185,0.8241655826568604,0.7066150307655334,0.6118833422660828,0.3058129549026489,0.258480042219162,0.20010127127170563,0.10325650125741959,0.0651443675160408
Too many contrivances that are blatantly contrary to the Star Wars universe but forced into being for âplotâ purposes. Way too many attempts at Jar-Jar Binks style comedy scattered throughout. Left me with the impression that Riann Johnson was more focussed on flipping the bird at JJ Abramsâ TFA than he was with putting together a quality film deserving of the Star Wars title.,4.0,Last Jedi,0.49366670846939087,0.405350923538208,0.2892019748687744,0.23335890471935272,0.16336672008037567,0.09718704223632812,0.07236241549253464,0.05059907212853432,0.02678805962204933
The force now supports Skype!! Not a bad movie just the decisions that were made were terrible.,2.0,Last Jedi,0.3230460286140442,0.26693665981292725,0.2621610164642334,0.22957265377044678,0.08169291913509369,0.05209825560450554,0.014272283762693405,0.013829320669174194,0.008028306998312473
"Hated this film. Clunky, badly structured and poorly written, preachy characters. And that with out mentioned what a disservice it does to TFA. Disney has no plans for these films, and it shows.",2.0,Last Jedi,0.9277455806732178,0.8061231970787048,0.6255747079849243,0.5309638977050781,0.39877933263778687,0.3688843250274658,0.2970406711101532,0.06676935404539108,0.04216544330120087
This is not Star Wars ! It felt like Disney wants only your money. It looks very exceptional but has a lot of things that don't make any sense. The message that Disney seems to sent the fans is  that the past doesn't matter.,2.0,Last Jedi,0.8258478045463562,0.16338683664798737,0.16144141554832458,0.10862178355455399,0.03986435756087303,0.030405839905142784,0.016287952661514282,0.011666296981275082,0.009288579225540161
