r_id,of_title,r_date,score,review,is_english,toxicity,severe_toxicity,identity_attack,insult,profanity,threat
92854,DG,2019-12-01,10.0,"This game exceeded my expectations in all aspects. Gameplay wise\, it has amazing combat mechanics\, superbly designed vehicle mechanics\, and truly challenging zombie encounters. The 'hordes' of upto 300 zombies are something I'd never experienced before playing this\, and I loved every second. Story-wise\, I was invested in the story\, and I connected with most of the characters I wasThis game exceeded my expectations in all aspects. Gameplay wise\, it has amazing combat mechanics\, superbly designed vehicle mechanics\, and truly challenging zombie encounters. The 'hordes' of upto 300 zombies are something I'd never experienced before playing this\, and I loved every second. Story-wise\, I was invested in the story\, and I connected with most of the characters I was introduced to\, though Deacon\, the protagonist of the game\, is what really shined\, in my opinion. Its truly refreshing to see such a morally challenged protagonist. I truly did not regret this buy\, and neither will you.… Expand",True,0.08716487,0.007019043,0.017063495,0.021288296,0.07385241,0.027861187
67726,DG,2020-08-27,6.0,Repetitive and dumb AI,True,0.55739564,0.023076924,0.025203101,0.5678696,0.38063943,0.009204263
Ambiance of the game is good though. Not really worth getting,true,,,,True,,,,,,
85432,DG,2019-04-26,10.0,this game is simply one of the best zombies games of this generation period,True,0.034748793,0.0021839142,0.005919657,0.01302291,0.021808386,0.009437286
85510,DG,2019-04-26,10.0,"Bend studio has courage to launch this game\, it's not a excellent game but is amazing and honest with it content.I like that\, very grateful for this game",True,0.021314176,0.0016498566,0.006696612,0.011160898,0.02071529,0.00948907
85788,DG,2019-04-26,10.0,Absolutely loving it - this game reminds me of Uncharted 4 mixed up with The last of us in an astonishing open world setting - couldn´t expect more.,True,0.027560094,0.0014972687,0.004421244,0.011122898,0.01846078,0.008155655
86117,DG,2019-04-26,4.0,Wait for the PS5 re-release. Until then it should be what we expect it to be. At least graphics. Not sure if the gameplay will change. Story is ok.,True,0.017215505,0.0012493134,0.003921773,0.00813988,0.014703264,0.008789998
86227,DG,2019-04-26,0.0,"Lots of cutscenes\, drop framerate\, visually boring and too generic zombie game ZZZZzzz WASTE OF TIME!",True,0.43230394,0.023076924,0.019877186,0.16868424,0.1589207,0.011922873
86379,DG,2019-07-21,10.0,Amazing storyline! Cut scenes never boring or too long. Excellent open world gameplay. One of a kind! A must play for sure!,True,0.025085296,0.0014877319,0.0036997858,0.010552894,0.019212283,0.009230154
86395,DG,2019-07-21,10.0,So underrated. This caught me so much more that TLOF as an apocalyptic game. It’s not perfect but it’s the first game this year to get me playing all night.,True,0.04735767,0.0018787384,0.0043102503,0.016632931,0.024951037,0.008000307
86482,DG,2019-07-27,10.0,"Awesome game!Amazing gameplay\, great graphics\, story.DAYS GONE Gorgeous game!",True,0.026499467,0.0029754639,0.008102531,0.010818896,0.024951037,0.011638066
92650,DG,2019-04-29,10.0,"I'm personally loving it\, it's a very fun game and it's also very beautiful. I've played like 9 to 10 hours now\, and i've just had 1 bug and it was just a little weird rock. It is not a masterpiece but believe me\, it is way better than you may think because of the reviews.",True,0.029445656,0.0023174286,0.008620501,0.013402912,0.025770858,0.0103175985
86908,DG,2019-08-13,7.0,I didn't know how reach 71 Metapoints if States of Decay reach 69 points. Unbelievably unfair. This game is good moreover It's great and dispose Hungarian substitle.,True,0.05750068,0.0025177002,0.021083053,0.017420914,0.02249157,0.009463178
86974,DG,2019-08-15,10.0,"\""Days Gone\"" is a fantastic game.  Best story.  Best graphics.  Highly recommended for many people.",True,0.018849092,0.0017547607,0.0055496786,0.008690883,0.016821137,0.009877442
87398,DG,2020-02-16,9.0,"Great story\, takes a while to get going but well worth the wait. Few frame rate issues while riding the bike. HDR is simply amazing. Love the open world. For me Days gone ranks right up there with rdrd2 & the last of us.",True,0.009864358,0.00076293945,0.0018313939,0.0074178753,0.01084327,0.007314181
87958,DG,2019-04-30,1.0,"Visuals are great\, the story is okay\, gameplay quite underwhelming. The zombie formula is getting a tad stale and it goes to the detriment of fun\, which should be the main goal of any videogame productions.",True,0.059727192,0.0028419495,0.00828752,0.01929015,0.02932342,0.010783645
88243,DG,2019-04-30,5.0,That is the first game i want my money back the game is a mess they try copy so many other games and finally we got some low budget product it is a pity for the lost potenial,True,0.24603334,0.0062561035,0.007029593,0.077136256,0.07514556,0.00823333
88269,DG,2019-09-25,0.0,"another poop game from the people who created bubsy 3D. oh boy\, zombies? how original!",True,0.4402136,0.023076924,0.0376521,0.29383746,0.352205,0.011249693
88375,DG,2019-11-01,0.0,"Garbage one of the worst games of this gen\,this is a big mess\, run away from this at all cost!!!!!… Expand",True,0.6863638,0.16960317,0.058856625,0.5145894,0.33453682,0.045572113
88655,DG,2020-08-30,10.0,its an excellent game!! I fall in love. I want the SECOND GAME! I ENJOY all the ours i played this game. I dont know why jave too lower rate. I give 10. Its amazing for me.,True,0.044388983,0.003376007,0.007954539,0.013592913,0.030389199,0.011146127
88668,DG,2020-08-31,10.0,"Great environment graphics\, living world\, great combat system. the hordes are fantastic! I recommend ",True,,,,,,
88702,DG,2020-09-02,0.0,It seems that they skipped beta test or the beta testers must have been idiots.,True,0.7856813,0.023076924,0.062039822,0.7827088,0.46222726,0.00951496
88867,DG,2020-09-03,10.0,"i love it\, the game is based on the human side when an epidimic happen\, you see how everyone try to survive in that time.",True,0.04785245,0.0031852722,0.00828752,0.011692902,0.025907494,0.013579931
88868,DG,2020-09-03,8.0,Days Gone,True,0.026735162,0.0019359589,0.0048097214,0.010742896,0.018392462,0.009540852
................................................................,true,,,,True,,,,,,
88954,DG,2020-09-05,10.0,"This game was so good\, everything I look for in open world games.  Can't wait for the sequel!!!  ❤❤",True,0.021903414,0.002040863,0.005956655,0.009070885,0.019485557,0.009903334
89058,DG,2020-09-06,10.0,"Loved the game. Just got allot of things right. There are some things\, very little that one doesn't like but I'm giving 10 because allot of critics are full of crap",True,0.6407703,0.023076924,0.06749674,0.5678696,0.6001929,0.008893564
89079,DG,2020-09-06,10.0,"A Master piece amazing gameplay graphic\, Epic Story mode\, more of 100 hours of game",True,0.017843807,0.0018787384,0.0042732526,0.008557882,0.01893901,0.00951496
89377,DG,2020-09-07,10.0,"I went into this game wanting to hate it. I don't like the whole zombie genre that has become popular in the past 15 years. But the story\, gameplay\, and mechanics were all amazing. Even my wife loved it. Please make another one.",True,0.23812068,0.008049011,0.03223813,0.03665562,0.13344458,0.013269233
89413,DG,2020-09-07,10.0,+ Great Open World and Main Story+ Pretty good gameplay mechanics+ A lot of motivating side missions+ Fights with Hordes are intense and one of the Highlights+/- First 1/3 of the game not as strong as the rest,True,0.043399423,0.0031089783,0.008028535,0.010856897,0.025087673,0.012699619
89414,DG,2020-09-08,10.0,"the best open world game ever\, best graphics and sounds songs theme and colors i love it… Expand",True,0.022374803,0.0022506714,0.008398513,0.009678889,0.021056883,0.010705971
89477,DG,2020-09-09,10.0,"I love\, love\, love this game. The gameplay is fun and engaging\, the scenery and visuals are gorgeous. This game is a must play for sure",True,0.026028076,0.002336502,0.007843546,0.009982891,0.023379711,0.010705971
89503,DG,2020-09-09,9.0,"I didn't want to buy the game due to bad reviews\, but I ended up playing the game and liked it",True,0.056263726,0.0020503998,0.007880543,0.01929015,0.027820412,0.008272167
91516,DG,2019-04-27,1.0,"Days Gone is an empty experience with several bugs and glitches\, invisible things\, so bad graphics\, the graphics of this game looks like PS2 or PS3 graphics\, the game don't have the necessary shadows\, the protagonist is boring\, the story is boring and all fights with the zombies are empty and boring.",True,0.3048984,0.013866014,0.026810925,0.08831572,0.1308005,0.012285355
91517,DG,2019-04-30,0.0,"Game is horrible. Bugs\, glitches\, b class movie storyline\, simple mechanics. It's the worst PS4 exclusive so far.",True,0.40614098,0.017287504,0.027011903,0.24767025,0.2188925,0.009644418
91518,DG,2019-05-25,7.0,"it's not bad. The story is good\, but the scenario is disgrace. It's not an exclusive standard.",True,0.10089093,0.0017261505,0.0035517942,0.03423163,0.02836696,0.0066668927
91519,DG,2019-05-25,7.0,"it's not bad. The story is good\, but the scenario is disgrace. It's not an exclusive standard.",True,0.10089093,0.0017261505,0.0035517942,0.03423163,0.02836696,0.0066668927
89639,DG,2020-09-10,10.0,"Sure there might have been a few glitches here and there\, but every game has that\, the story was not only interesting and cool\, but it was the perfect length. Too many games are great\, but over in 10-15 hours\, this game doesn't have that issue.Graphics are good\, music is killer\, there's not a bad thing I can say about this personally.",True,0.09112182,0.004119873,0.019073274,0.021675033,0.06796519,0.031314444
89640,DG,2020-09-11,0.0,"This is not Metacritic\, it is playstation critic.This game is garbage. Dont buy.",True,,,,,,
89679,DG,2020-09-21,9.0,Very creative game play with a 90%good story but a little more loading than usual,True,0.027206551,0.0016593933,0.0051797,0.012262905,0.018734055,0.008815889
89680,DG,2020-07-23,7.0,"this is a great type of game\, the gameplay is fun to say the least\, but the story except for a few more scenes is not entirely crazy\, I honestly believe that the only thing I would do in this game is the hordes\, but the other things do not  I would never repeat them\, the game\, the graphics and the actions you can devise are full 8\, but the story is 6 in my opinion.",True,0.07054565,0.0035476685,0.010951365,0.020385906,0.06596114,0.012181788
89681,DG,2020-07-23,10.0,"Such an underrated game \, those game journalisms butchers this game \, if you read this don't listen to them this game is amazing… Expand",True,0.23523538,0.0074768066,0.020882076,0.07460167,0.085167445,0.010265815
89690,DG,2020-10-19,10.0,"Amazing game! Story\, dialogues\, graphics\, nature effects wow! So good to be 71..",True,0.027913637,0.0023460388,0.005253696,0.0107048955,0.020646973,0.010705971
89746,DG,2020-07-19,9.0,"One of the hidden gems of this generation. It's not perfect\, but does a really good job with what it's supposed to do\, the story is great\, game has lots of things to do and considering this was Bend Studio's first AAA-game\, this for me is a must buy for PS4. There better be a sequel!",True,0.02826718,0.0020217896,0.006511623,0.011198899,0.023174755,0.010188141
89829,DG,2020-07-19,10.0,"This game worth having more than poor 8.2Come on guys! It looks great\, fun to play and has pretty much a couple of a good twists.",True,0.09438288,0.0043296814,0.017163984,0.024640027,0.058445938,0.018019408
89844,DG,2020-07-19,9.0,"Solid game all around\, don't let these pathetic critics ruin your chance of playing it.",True,0.48021027,0.008392334,0.009915425,0.5362655,0.17926037,0.0084793
89845,DG,2020-07-19,10.0,"One of the best Playstation exclusives I've ever played. Interesting story\, good soundtrack\, amazing graphics. Absolutely must have !!!",True,,,,,,
89861,DG,2020-07-23,7.0,"I was going to give the game a 6 but I find my self wanting to go back to it to clean up the side missions on the map AND I ENJOY IT. Ide give it a solid 7.8\, almost a 8 but I will pay for 8's more than once.",True,0.0414203,0.0030899048,0.0076585566,0.012452906,0.026727317,0.011430934
89886,DG,2020-07-19,9.0,9/10Good and fun Open WorldGood Graphics and TexturesGood History and GameplayThe only bad thing is the loading screencBut the game is really good,True,0.061444655,0.0041007996,0.012061302,0.015416925,0.029050145,0.012699619
89898,DG,2020-07-23,8.0,Awesome storyline great fun killing off hordes... Great graphics and upgrade system for the bike.. Good to explore and beautiful post apocalyptic world,True,0.28857216,0.023076924,0.021183543,0.03827355,0.09098661,0.40858683
