r_id,of_title,r_date,score,review,is_english,toxicity,severe_toxicity,identity_attack,insult,profanity,threat
85532,RE7B,2020-06-19,10.0,My favorite game from the Resident Evil series. It has an excellent story and managed to change the terror like no other game has done before. Capcom is to be congratulated. I hope you do more (in first person) ,True,,,,,,
85613,RE7B,2020-09-26,0.0,"Wonky controls\, enemies have 2 categories: unklillable or Marvel's Venom. Story is trash and enviroment is dull and gross\, just for the sake of it.",True,,,,,,
85700,RE7B,2020-11-19,9.0,=== [Gameplay] ===,True,0.014576632,0.0015354156,0.0042732526,0.008652883,0.018119188,0.008246276
✔️Very good.,,,,,True,,,,,,
=== [History] ===,,,,,True,,,,,,
✔️Good.,,,,,True,,,,,,
=== [Graphics] ===,,,,,True,,,,,,
✔️Very good.,,,,,True,,,,,,
=== [Soundtrack] ===,,,,,True,,,,,,
✔️orgasm,,,,,True,,,,,,
=== [Durability] ===,,,,,True,,,,,,
✔️Short (,true,,,,True,,,,,,
85715,RE7B,2020-09-26,7.0,This Resident evil game was decent. I hope Capcom goes back to third person perspective I hate first person games,True,0.29405528,0.007896423,0.08666438,0.071433455,0.12374964,0.010188141
85763,RE7B,2020-10-05,9.0,Gameplay 9/10Story 8/10Presentation 8/10Performance 8/10Music 8/10Characters 8/10Resident Evil is back,True,0.026735162,0.0021362305,0.004587734,0.009678889,0.019348921,0.008815889
89006,RE7B,2020-11-15,9.0,"My first truly horror game and Resident Evil game. I played on a monitor\, and enjoyed it very much by the fear of death(when you are being chased and you can't look behind) and jump scares. Everything about the game comes together to give you a truly horror experience.",True,0.11192002,0.004310608,0.010581387,0.020063626,0.062454045,0.039947584
89038,RE7B,2020-10-14,1.0,Not a true Resident evil game. It Copied and pasted Outlast. Also the baker family the main antagonist is a Texas chainsaw rip-off.,True,0.1893425,0.0041770935,0.015154205,0.089778624,0.030389199,0.010835429
89039,RE7B,2020-10-15,8.0,Its a really good Resident Evil game We all know that in the last re games are not horror games its more like action games but this game is so scary and the graphics look so good… Expand,True,0.081625134,0.0038909912,0.012541492,0.020256994,0.040158957,0.013579931
89136,RE7B,2017-04-29,8.0,"It is a solid entry in the franchise even tho i was worried it was an FPS game\,the game could have been a 9 if the dlc was actually in the game because the story is like 8 to 10 hours long. Also i might want to experience it with the VR in the future for a better thrill experience.",True,0.023788974,0.0017642975,0.0061416444,0.009906891,0.02167175,0.009566744
89189,RE7B,2020-11-07,10.0,This game was amazing! 2 hours in my leg had been cut off then reattached by a creepy southern dude possessed by black goop. Then I played this game and it was really fun.,True,0.4014846,0.02411546,0.44690517,0.37733194,0.34391102,0.063675895
89190,RE7B,2020-11-16,8.0,"Amazing horror experience\, with one of the best atmospheres for horror games. Good replay value and appropriate length. Interesting story and likable characters\, for sure a great introduction to Resident Evil.",True,0.036634352,0.002336502,0.0058086636,0.011046898,0.022833163,0.01187109
89203,RE7B,2017-01-24,1.0,"Resident Evil 7 is boring game\, unfortunately. And I had super strong motion sick because of bad camera motion.VR helps this game as something \""new experience\"". But other VR games provide better experience.",True,0.17805049,0.00415802,0.027614836,0.06372428,0.08419759,0.010447056
89213,RE7B,2019-04-08,9.0,i played Resident Evil 7 Biohazard on ps4 it is a perfect horror game of 2017 i love it,True,,,,,,
89214,RE7B,2019-01-05,8.0,Its not an survival horror. Why i am run like a snail? 8 monsters at one place? Seruiosly? This is shooter,True,0.2763787,0.011291504,0.011321344,0.0811385,0.10735235,0.1348172
89229,RE7B,2018-12-25,8.0,RE7 is a fresh take on the Resident Evil series that fondly recalls the classics even as it takes a bold new direction.,True,,,,,,
